GEO_ID,NAME,zip,,P001001
8710000US4215034,ZCTA5,15034, Pennsylvania,1792
8710000US4215042,ZCTA5,15042, Pennsylvania,8105
8710000US4215035,ZCTA5,15035, Pennsylvania,2129
8710000US4215037,ZCTA5,15037, Pennsylvania,10894
8710000US4215038,ZCTA5,15038, Pennsylvania,325
8710000US4215043,ZCTA5,15043, Pennsylvania,2458
8710000US4215044,ZCTA5,15044, Pennsylvania,27049
8710000US4215045,ZCTA5,15045, Pennsylvania,4483
8710000US4215046,ZCTA5,15046, Pennsylvania,2640
8710000US4215047,ZCTA5,15047, Pennsylvania,151
8710000US4215049,ZCTA5,15049, Pennsylvania,895
8710000US4215050,ZCTA5,15050, Pennsylvania,2431
8710000US4215051,ZCTA5,15051, Pennsylvania,461
8710000US4215052,ZCTA5,15052, Pennsylvania,3483
8710000US4215053,ZCTA5,15053, Pennsylvania,154
8710000US4215054,ZCTA5,15054, Pennsylvania,375
8710000US4215055,ZCTA5,15055, Pennsylvania,1360
8710000US4215056,ZCTA5,15056, Pennsylvania,1140
8710000US4215062,ZCTA5,15062, Pennsylvania,7731
8710000US4215001,ZCTA5,15001, Pennsylvania,31964
8710000US4215057,ZCTA5,15057, Pennsylvania,13930
8710000US4215059,ZCTA5,15059, Pennsylvania,4193
8710000US4215060,ZCTA5,15060, Pennsylvania,790
8710000US4215061,ZCTA5,15061, Pennsylvania,12799
8710000US4215063,ZCTA5,15063, Pennsylvania,11677
8710000US4215064,ZCTA5,15064, Pennsylvania,382
8710000US4215065,ZCTA5,15065, Pennsylvania,11588
8710000US4215066,ZCTA5,15066, Pennsylvania,12785
8710000US4215067,ZCTA5,15067, Pennsylvania,2281
8710000US4215068,ZCTA5,15068, Pennsylvania,38785
8710000US4215071,ZCTA5,15071, Pennsylvania,9956
8710000US4215072,ZCTA5,15072, Pennsylvania,101
8710000US4215074,ZCTA5,15074, Pennsylvania,8874
8710000US4217237,ZCTA5,17237, Pennsylvania,1917
8710000US4217238,ZCTA5,17238, Pennsylvania,1794
8710000US4217239,ZCTA5,17239, Pennsylvania,203
8710000US4217240,ZCTA5,17240, Pennsylvania,3345
8710000US4217241,ZCTA5,17241, Pennsylvania,11853
8710000US4217243,ZCTA5,17243, Pennsylvania,1329
8710000US4217244,ZCTA5,17244, Pennsylvania,2407
8710000US4217246,ZCTA5,17246, Pennsylvania,195
8710000US4217247,ZCTA5,17247, Pennsylvania,366
8710000US4217249,ZCTA5,17249, Pennsylvania,371
8710000US4217253,ZCTA5,17253, Pennsylvania,337
8710000US4217250,ZCTA5,17250, Pennsylvania,68
8710000US4217251,ZCTA5,17251, Pennsylvania,158
8710000US4217252,ZCTA5,17252, Pennsylvania,3608
8710000US4217254,ZCTA5,17254, Pennsylvania,89
8710000US4217255,ZCTA5,17255, Pennsylvania,1125
8710000US4217256,ZCTA5,17256, Pennsylvania,91
8710000US4217257,ZCTA5,17257, Pennsylvania,27996
8710000US4217260,ZCTA5,17260, Pennsylvania,1164
8710000US4217261,ZCTA5,17261, Pennsylvania,193
8710000US4217262,ZCTA5,17262, Pennsylvania,1462
8710000US4217263,ZCTA5,17263, Pennsylvania,467
8710000US4217264,ZCTA5,17264, Pennsylvania,2305
8710000US4217268,ZCTA5,17268, Pennsylvania,28285
8710000US4217265,ZCTA5,17265, Pennsylvania,496
8710000US4217266,ZCTA5,17266, Pennsylvania,581
8710000US4217267,ZCTA5,17267, Pennsylvania,2810
8710000US4215539,ZCTA5,15539, Pennsylvania,498
8710000US4215540,ZCTA5,15540, Pennsylvania,290
8710000US4215541,ZCTA5,15541, Pennsylvania,3721
8710000US4215542,ZCTA5,15542, Pennsylvania,1175
8710000US4215544,ZCTA5,15544, Pennsylvania,264
8710000US4215545,ZCTA5,15545, Pennsylvania,2879
8710000US4215546,ZCTA5,15546, Pennsylvania,386
8710000US4215547,ZCTA5,15547, Pennsylvania,504
8710000US4215550,ZCTA5,15550, Pennsylvania,1699
8710000US4215551,ZCTA5,15551, Pennsylvania,860
8710000US4215552,ZCTA5,15552, Pennsylvania,6115
